Gamma_Values,R_Squared_Values,Coef,intercepts
0.01,0.9939467725834549,[0.001098],1.0593036246741676
0.02,0.9940010757620097,[0.00232919],1.122123127421219
0.03,0.9940551185031641,[0.0037057],1.1886668854066427
0.04,0.9941089006812932,[0.00524061],1.259155621677869
0.05,0.9941624221713787,[0.00694809],1.3338231363726485
0.06,0.9942156828490047,[0.00884343],1.412917081218468
0.07,0.9942686825903655,[0.01094312],1.4966997798850281
0.08,0.9943214212722602,[0.013265],1.5854490969033683
0.09,0.9943738987720949,[0.01582829],1.6794593580257318
0.1,0.9944261149678842,[0.01865374],1.7790423250703025
0.11,0.9944780697382513,[0.02176373],1.8845282284749822
0.12,0.9945297629624297,[0.02518237],1.9962668609751144
0.13,0.9945811945202627,[0.02893568],2.114628736022033
0.14,0.9946323642922043,[0.03305168],2.2400063147732387
0.15,0.9946832721593205,[0.03756056],2.372815305711616
0.16,0.9947339180032906,[0.04249485],2.5134960411910274
0.17,0.9947843017064052,[0.04788956],2.6625149354598157
0.18,0.9948344231515704,[0.05378242],2.8203660289829258
0.19,0.9948842822223057,[0.060214],2.9875726241684357
0.2,0.9949338788027464,[0.06722798],3.1646890179062517
0.21,0.9949832127776436,[0.07487136],3.3523023366465026
0.22,0.9950322840323649,[0.0831947],3.551034480083909
0.23,0.9950810924528948,[0.09225238],3.7615441798730602
0.24,0.9951296379258366,[0.10210286],3.9845291801795044
0.25,0.9951779203384112,[0.112809],4.22072854727393
0.26,0.9952259395784595,[0.12443838],4.4709251158028405
0.27,0.995273695534442,[0.13706363],4.735948079820515
0.28,0.9953211880954399,[0.15076277],5.016675737145039
0.29,0.9953684171511558,[0.16561966],5.314038396107464
0.3,0.9954153825919132,[0.18172435],5.629021454299353
0.31,0.9954620843086599,[0.19917357],5.962668659491832
0.32,0.9955085221929653,[0.21807121],6.316085563500689
0.33,0.9955546961370235,[0.23852879],6.690443180409075
0.34,0.9956006060336529,[0.26066605],7.086981861233922
0.35000000000000003,0.9956462517762968,[0.28461151],7.507015397836658
0.36,0.9956916332590244,[0.31050312],7.951935369635544
0.37,0.9957367503765314,[0.33848888],8.4232157474783
0.38,0.9957816030241403,[0.36872763],8.922417769882387
0.39,0.995826191097801,[0.40138974],9.451195107749344
0.4,0.995870514494092,[0.43665798],10.01129933461137
0.41000000000000003,0.9959145731102206,[0.47472838],10.604585720476713
0.42,0.9959583668440231,[0.51581117],11.233019368408184
0.43,0.9960018955939665,[0.56013175],11.898681714099997
0.44,0.9960451592591476,[0.60793182],12.603777409915649
0.45,0.9960881577392954,[0.65947047],13.350641616118331
0.46,0.9961308909347699,[0.71502543],14.141747723368265
0.47000000000000003,0.996173358746564,[0.77489438],14.979715531984416
0.48,0.9962155610763034,[0.83939633],15.867319914974479
0.49,0.9962574978262474,[0.90887312],16.807499993432977
0.5,0.9962991688992894,[0.98369103],17.80336885459703
0.51,0.9963405741989575,[1.06424247],18.858223844639298
0.52,0.9963817136294153,[1.15094783],19.97555747017302
0.53,0.9964225870954622,[1.24425738],21.159068944451363
0.54,0.9964631945025336,[1.3446534],22.412676416369383
0.55,0.9965035357567024,[1.45265237],23.74052992262826
0.56,0.9965436107646788,[1.5688074],25.147025105806012
0.5700000000000001,0.996583419433811,[1.69371069],26.63681774360398
0.58,0.9966229616720859,[1.82799631],28.214839137212888
0.59,0.9966622373881295,[1.97234306],29.886312409574423
0.6,0.9967012464912075,[2.12747761],31.656769767313524
0.61,0.9967399888912261,[2.29417775],33.53207078329375
0.62,0.9967784644987316,[2.47327596],35.51842176011136
0.63,0.9968166732249122,[2.66566318],37.62239623840713
0.64,0.9968546149815974,[2.8722928],39.8509567176476
0.65,0.9968922896812595,[3.09418505],42.21147766102324
0.66,0.9969296972370133,[3.3324315],44.711769860342585
0.67,0.996966837562617,[3.58820002],47.36010624128339
0.68,0.9970037105724724,[3.86274],50.16524919410655
0.6900000000000001,0.9970403161816263,[4.15738798],53.136479519966166
0.7000000000000001,0.9970766543057694,[4.47357357],56.28362708827044
0.71,0.9971127248612385,[4.81282587],59.61710330618624
0.72,0.9971485277650158,[5.17678025],63.14793550734856
0.73,0.99718406293473,[5.56718566],66.88780337315893
0.74,0.9972193302886564,[5.98591235],70.8490775067512
0.75,0.9972543297457176,[6.43496017],75.0448602867939
0.76,0.9972890612254839,[6.91646743],79.48902913580571
0.77,0.9973235246481739,[7.43272031],84.19628234561335
0.78,0.9973577199346546,[7.98616295],89.18218761100124
0.79,0.9973916470064423,[8.57940822],94.46323343152
0.8,0.997425305785703,[9.21524917],100.05688355086448
0.81,0.9974586961952524,[9.8966713],105.98163461323426
0.8200000000000001,0.9974918181585569,[10.62686563],112.25707722667781
0.8300000000000001,0.9975246715997336,[11.40924264],118.90396063464104
0.84,0.997557256443551,[12.24744717],125.94426120881538
0.85,0.9975895726154295,[13.14537431],133.40125498896106
0.86,0.9976216200414415,[14.10718632],141.29959450869927
0.87,0.9976533986483124,[15.13733078],149.66539016037623
0.88,0.9976849083634203,[16.24055984],158.52629636703665
0.89,0.9977161491147967,[17.42195081],167.91160284536556
0.9,0.9977471208311275,[18.68692818],177.85233126021046
0.91,0.9977778234417523,[20.041287],188.38133758903285
0.92,0.9978082568766657,[21.49121793],199.53342053342897
0.93,0.9978384210665175,[23.04333388],211.3454363347514
0.9400000000000001,0.9978683159426128,[24.70469853],223.85642037193253
0.9500000000000001,0.9978979414369127,[26.48285659],237.10771594192036
0.96,0.9979272974820345,[28.38586629],251.14311064676477
0.97,0.9979563840112523,[30.42233384],266.0089808364099
0.98,0.997985200958497,[32.60145031],281.7544445827425
0.99,0.9980137482583572,[34.93303094],298.4315236885067
1.0,0.9980420258460793,[37.42755702],316.0953152644003
1.01,0.9980700336575675,[40.09622061],334.8041734391392
1.02,0.9980977716293851,[42.95097223],354.61990180058234
1.03,0.9981252396987536,[46.00457166],375.60795720130534
1.04,0.9981524378035543,[49.27064225],397.83766559936157
1.05,0.998179365882328,[52.76372864],421.38245064454185
1.06,0.9982060238742753,[56.49935851],446.3200757623342
1.07,0.998232411719257,[60.49410831],472.7329005321583
1.08,0.9982585293577948,[64.76567337],500.7081522034241
1.09,0.9982843767310712,[69.33294269],530.3382132427233
1.1,0.9983099537809299,[74.21607863],561.7209258581338
1.11,0.9983352604498764,[79.43660197],594.9599145024188
1.12,0.9983602966810781,[85.01748249],630.1649274159665
1.1300000000000001,0.9983850624183644,[90.98323564],667.4521983328838
1.1400000000000001,0.9984095576062277,[97.36002558],706.9448295398907
1.1500000000000001,0.9984337821898229,[104.17577495],748.7731975478233
1.16,0.9984577361149684,[111.46028209],793.0753827098192
1.17,0.9984814193281457,[119.24534576],839.9976241989345
1.18,0.9985048317765003,[127.56489832],889.6948018412145
1.19,0.9985279734078419,[136.45514757],942.3309463884615
1.2,0.9985508441706443,[145.95472799],998.0797799083218
1.21,0.998573444014046,[156.10486197],1057.1252880682323
1.22,0.9985957728878506,[166.94953166],1119.6623261944646
1.23,0.9986178307425265,[178.53566217],1185.8972610984388
1.24,0.9986396175292082,[190.91331677],1256.0486507798623
1.25,0.9986611331996952,[204.13590511],1330.347964240636
1.26,0.9986823777064534,[218.26040494],1409.0403437751027
1.27,0.998703351002615,[233.34759859],1492.385412241667
1.28,0.9987240530419785,[249.46232499],1580.6581279684303
1.29,0.9987444837790093,[266.67374815],1674.14969010182
1.3,0.9987646431688396,[285.05564345],1773.1684973727415
1.31,0.9987845311672692,[304.68670267],1878.0411634300572
1.32,0.9988041477307649,[325.65085905],1989.1135920768002
1.33,0.9988234928164617,[348.03763376],2106.7521159410844
1.34,0.998842566382162,[371.94250506],2231.344702321773
1.35,0.9988613683863368,[397.46730177],2363.302230169328
1.36,0.9988798987881253,[424.72062246],2503.0598423956158
1.37,0.9988981575473354,[453.81828226],2651.0783779535177
1.3800000000000001,0.9989161446244434,[484.88378885],2807.8458883888006
1.3900000000000001,0.9989338599805954,[518.04884974],2973.879243843748
1.4000000000000001,0.9989513035776056,[553.4539128],3149.7258337853978
1.41,0.9989684753779589,[591.24874212],3335.965368041762
1.42,0.9989853753448085,[631.59303166],3533.211784058436
1.43,0.9990020034419784,[674.65705909],3742.115266636016
1.44,0.999018359633962,[720.62238234],3963.3643867777464
1.45,0.9990344438859232,[769.68258186],4197.688366667048
1.46,0.9990502561636959,[822.04405126],4445.859478208114
1.47,0.9990657964337847,[877.92683985],4708.695583000438
